EXP_DATE,EFF_DATE,CORP_NAME,TRADE_NAME,LICENSEE,TAXKEY_NUMBER,HOUSE_NR,SDIR,STREET,STTYPE,ALDERMANIC_DISTRICT,POLICE_DISTRICT,LIC_TYPE,License Type Full Name,TOT_CAP,ROOM_CAP,TAXKEY
10/22/2020,9/24/2019,"AARYAN, LLC",HAMPTON BEVERAGE II,"ALPESH B PATEL, Agt",400039100,8608,N,107TH,ST,9,4,ALQML,Class A Malt & Class A Liquor License,,,400039100
9/25/2020,9/4/2019,El Tenampa LLC,El Tenampa Mexican Grill & Cantina,"Victor M Ramirez Velasquez, Agt",409961110,8660,N,107TH,ST,9,4,BTAVN,Class B Tavern License,,,409961110
9/21/2020,8/27/2019,107 LLC,Bar107,"ALPESH B PATEL, Agt",390173100,8775,N,107th,ST,9,4,BTAVN,Class B Tavern License,150,,390173100
7/10/2020,7/11/2019,Colombia Tropical,Colombia Tropical,"RODRIGO DIEZ, Agt",4611375000,1629,S,10TH,ST,12,2,BTAVN,Class B Tavern License,90,,4611375000
6/30/2020,6/18/2019,THE DOCTOR'S INN,THE DOCTOR'S INN,"GENE M PEDERSEN, SP",5071176000,3010,S,10TH,ST,14,6,BTAVN,Class B Tavern License,80,,5071176000
9/23/2020,9/4/2019,GUADALAJARA CORPORATION,GUADALAJARA RESTAURANT,"GENOVEVA LOZADA, Agt",4320686000,901,S,10TH,ST,12,2,BTAVN,Class B Tavern License,50,,4320686000
4/8/2020,3/26/2019,"Jackson's BRP At the Brewhouse, LLC",Jackson's Blue Ribbon Pub At The Brewhouse Inn & Suites,"MARK A ZIERATH, Agt",3620509000,1203,N,10th,ST,4,1,BTAVN,Class B Tavern License,,,3620509000
7/30/2020,7/31/2019,Johanna's Cakes & Desserts LLC,Johanna's Cakes & Desserts,"Johanna Ortiz, Agt",4320291000,1239,S,11th,ST,12,2,BTAVN,Class B Tavern License,,,4320291000
1/17/2020,12/20/2018,Greater Milwaukee Association of the Deaf Inc,Greater Milwaukee Association of the Deaf,"JOHN P MURPHY, Agt",4610618000,1725,S,11th,ST,12,2,BTAVN,Class B Tavern License,129,,4610618000
7/5/2020,6/18/2019,Restaurante El Local LLC,Restaurante El Local,"JESUS SOTO CRUZ, Agt",4610646000,1801,S,11th,ST,12,2,BBEER,Class B Fermented Malt Beverage Retailer's License,,,4610646000
7/9/2020,6/18/2019,"Sam's East, Inc.",Sam's Club #6324,"Nicole M Estes, Agt",750001100,8100,N,124th,ST,9,4,ALQML,Class A Malt & Class A Liquor License,,,750001100
2/9/2020,4/17/2019,STILL ON 12TH ST II,STILL ON 12TH ST II,"JUANITA L SHAW, SP",,1871,N,12TH,ST,15,3,BTAVN,Class B Tavern License,65,,3520764100
4/17/2020,4/16/2019,BIG LARRY'S,BIG LARRY'S,"BRADFORD J ALLEN, SP",,2378,N,12TH,ST,15,3,BTAVN,Class B Tavern License,25,,3231345000
11/4/2020,11/7/2019,CHERRY'S PLACE,CHERRY'S PLACE,"CHERRY G GREGORY, SP",3231170000,2401,N,12TH,ST,15,3,BTAVN,Class B Tavern License,80,,3231170000
