,EXP_DATE,EFF_DATE,CORP_NAME,TRADE_NAME,LICENSEE,TAXKEY_NUMBER,HOUSE_NR,SDIR,STREET,STTYPE,ALDERMANIC_DISTRICT,POLICE_DISTRICT,LIC_TYPE,License Type Full Name,TOT_CAP,ROOM_CAP,TAXKEY,CITY,LAT,LON
0,10/22/2020,9/24/2019,"AARYAN, LLC",HAMPTON BEVERAGE II,"ALPESH B PATEL, Agt",400039100.0,8608,N,107TH,ST,9.0,4.0,ALQML,Class A Malt & Class A Liquor License,,,400039100,"Milwaukee, WI",43.1738379090909,-88.0441465454546
1,9/25/2020,9/4/2019,El Tenampa LLC,El Tenampa Mexican Grill & Cantina,"Victor M Ramirez Velasquez, Agt",409961110.0,8660,N,107TH,ST,9.0,4.0,BTAVN,Class B Tavern License,,,409961110,"Milwaukee, WI",43.1743487171717,-88.0441381414141
2,9/21/2020,8/27/2019,107 LLC,Bar107,"ALPESH B PATEL, Agt",390173100.0,8775,N,107th,ST,9.0,4.0,BTAVN,Class B Tavern License,150.0,,390173100,"Milwaukee, WI",43.1796471,-88.0442343
3,7/10/2020,7/11/2019,Colombia Tropical,Colombia Tropical,"RODRIGO DIEZ, Agt",4611375000.0,1629,S,10TH,ST,12.0,2.0,BTAVN,Class B Tavern License,90.0,,4611375000,"Milwaukee, WI",43.0135618209431,-87.9241768290193
4,6/30/2020,6/18/2019,THE DOCTOR'S INN,THE DOCTOR'S INN,"GENE M PEDERSEN, SP",5071176000.0,3010,S,10TH,ST,14.0,6.0,BTAVN,Class B Tavern License,80.0,,5071176000,"Milwaukee, WI",42.9898432036186,-87.9250049709971
5,9/23/2020,9/4/2019,GUADALAJARA CORPORATION,GUADALAJARA RESTAURANT,"GENOVEVA LOZADA, Agt",4320686000.0,901,S,10TH,ST,12.0,2.0,BTAVN,Class B Tavern License,50.0,,4320686000,"Milwaukee, WI",43.022061,-87.924054
6,4/8/2020,3/26/2019,"Jackson's BRP At the Brewhouse, LLC",Jackson's Blue Ribbon Pub At The Brewhouse Inn & Suites,"MARK A ZIERATH, Agt",3620509000.0,1203,N,10th,ST,4.0,1.0,BTAVN,Class B Tavern License,,,3620509000,"Milwaukee, WI",43.0459141,-87.9246877
7,7/30/2020,7/31/2019,Johanna's Cakes & Desserts LLC,Johanna's Cakes & Desserts,"Johanna Ortiz, Agt",4320291000.0,1239,S,11th,ST,12.0,2.0,BTAVN,Class B Tavern License,,,4320291000,"Milwaukee, WI",43.0105933,-87.9255641
8,1/17/2020,12/20/2018,Greater Milwaukee Association of the Deaf Inc,Greater Milwaukee Association of the Deaf,"JOHN P MURPHY, Agt",4610618000.0,1725,S,11th,ST,12.0,2.0,BTAVN,Class B Tavern License,129.0,,4610618000,"Milwaukee, WI",43.0105933,-87.9255641
9,7/5/2020,6/18/2019,Restaurante El Local LLC,Restaurante El Local,"JESUS SOTO CRUZ, Agt",4610646000.0,1801,S,11th,ST,12.0,2.0,BBEER,Class B Fermented Malt Beverage Retailer's License,,,4610646000,"Milwaukee, WI",43.0105933,-87.9255641
10,7/9/2020,6/18/2019,"Sam's East, Inc.",Sam's Club #6324,"Nicole M Estes, Agt",750001100.0,8100,N,124th,ST,9.0,4.0,ALQML,Class A Malt & Class A Liquor License,,,750001100,"Milwaukee, WI",43.172407,-88.0639705
