,EXP_DATE,EFF_DATE,CORP_NAME,TRADE_NAME,LICENSEE,TAXKEY_NUMBER,HOUSE_NR,SDIR,STREET,STTYPE,ALDERMANIC_DISTRICT,POLICE_DISTRICT,LIC_TYPE,License Type Full Name,TOT_CAP,ROOM_CAP,TAXKEY,CITY,lat,lon
0,2020-10-22,2019-09-24,"AARYAN, LLC",HAMPTON BEVERAGE II,"ALPESH B PATEL, Agt",400039100.0,8608,N,107TH,ST,9.0,4.0,ALQML,Class A Malt & Class A Liquor License,,,400039100,"Milwaukee, WI",43.1738379090909,-88.0441465454546
1,2020-09-25,2019-09-04,El Tenampa LLC,El Tenampa Mexican Grill & Cantina,"Victor M Ramirez Velasquez, Agt",409961110.0,8660,N,107TH,ST,9.0,4.0,BTAVN,Class B Tavern License,,,409961110,"Milwaukee, WI",43.1743487171717,-88.0441381414141
2,2020-09-21,2019-08-27,107 LLC,Bar107,"ALPESH B PATEL, Agt",390173100.0,8775,N,107th,ST,9.0,4.0,BTAVN,Class B Tavern License,150.0,,390173100,"Milwaukee, WI",43.1796471,-88.0442343
3,2020-07-10,2019-07-11,Colombia Tropical,Colombia Tropical,"RODRIGO DIEZ, Agt",4611375000.0,1629,S,10TH,ST,12.0,2.0,BTAVN,Class B Tavern License,90.0,,4611375000,"Milwaukee, WI",43.0135618209431,-87.9241768290193
4,2020-06-30,2019-06-18,THE DOCTOR'S INN,THE DOCTOR'S INN,"GENE M PEDERSEN, SP",5071176000.0,3010,S,10TH,ST,14.0,6.0,BTAVN,Class B Tavern License,80.0,,5071176000,"Milwaukee, WI",42.9898432036186,-87.9250049709971
5,2020-09-23,2019-09-04,GUADALAJARA CORPORATION,GUADALAJARA RESTAURANT,"GENOVEVA LOZADA, Agt",4320686000.0,901,S,10TH,ST,12.0,2.0,BTAVN,Class B Tavern License,50.0,,4320686000,"Milwaukee, WI",43.022061,-87.924054
6,2020-04-08,2019-03-26,"Jackson's BRP At the Brewhouse, LLC",Jackson's Blue Ribbon Pub At The Brewhouse Inn & Suites,"MARK A ZIERATH, Agt",3620509000.0,1203,N,10th,ST,4.0,1.0,BTAVN,Class B Tavern License,,,3620509000,"Milwaukee, WI",43.0459141,-87.9246877
7,2020-07-30,2019-07-31,Johanna's Cakes & Desserts LLC,Johanna's Cakes & Desserts,"Johanna Ortiz, Agt",4320291000.0,1239,S,11th,ST,12.0,2.0,BTAVN,Class B Tavern License,,,4320291000,"Milwaukee, WI",43.0105933,-87.9255641
8,2020-01-17,2018-12-20,Greater Milwaukee Association of the Deaf Inc,Greater Milwaukee Association of the Deaf,"JOHN P MURPHY, Agt",4610618000.0,1725,S,11th,ST,12.0,2.0,BTAVN,Class B Tavern License,129.0,,4610618000,"Milwaukee, WI",43.0105933,-87.9255641
9,2020-07-05,2019-06-18,Restaurante El Local LLC,Restaurante El Local,"JESUS SOTO CRUZ, Agt",4610646000.0,1801,S,11th,ST,12.0,2.0,BBEER,Class B Fermented Malt Beverage Retailer's License,,,4610646000,"Milwaukee, WI",43.0105933,-87.9255641
10,2020-07-09,2019-06-18,"Sam's East, Inc.",Sam's Club #6324,"Nicole M Estes, Agt",750001100.0,8100,N,124th,ST,9.0,4.0,ALQML,Class A Malt & Class A Liquor License,,,750001100,"Milwaukee, WI",43.172407,-88.0639705
11,2020-02-09,2019-04-17,STILL ON 12TH ST II,STILL ON 12TH ST II,"JUANITA L SHAW, SP",,1871,N,12TH,ST,15.0,3.0,BTAVN,Class B Tavern License,65.0,,3520764100,"Milwaukee, WI",43.055145695791,-87.9271387834159
12,2020-04-17,2019-04-16,BIG LARRY'S,BIG LARRY'S,"BRADFORD J ALLEN, SP",,2378,N,12TH,ST,15.0,3.0,BTAVN,Class B Tavern License,25.0,,3231345000,"Milwaukee, WI",43.0617476320309,-87.9267647052244
13,2020-11-04,2019-11-07,CHERRY'S PLACE,CHERRY'S PLACE,"CHERRY G GREGORY, SP",3231170000.0,2401,N,12TH,ST,15.0,3.0,BTAVN,Class B Tavern License,80.0,,3231170000,"Milwaukee, WI",43.062315,-87.926979
14,2020-04-06,2019-03-26,"B & S FOOD MARKET, INC",B & S FOOD MARKET,"MILOUD A ELWERFALLI, Agt",,3299,N,12TH,ST,6.0,5.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2830463000,"Milwaukee, WI",43.078816,-87.926245
15,2020-05-12,2019-05-13,"Wisconsin Liquor & Food, Inc",ABC Beer & Liquor Depot II,"NAVDIP KAUR, Agt",3520777100.0,1819,N,12th,ST,15.0,3.0,ALQML,Class A Malt & Class A Liquor License,,,3520777100,"Milwaukee, WI",43.0543280431839,-87.9271578340358
16,2020-04-29,2019-04-16,North Side Meat Mart LLC,North Side Meat Mart,"Faiz N Mavrkis, Agt",3123322000.0,3004,N,12th,ST,6.0,5.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3123322000,"Milwaukee, WI",43.073305102526,-87.9266079259145
17,2020-09-24,2019-09-25,MARQUETTE UNIVERSITY,Marquette University/Eckstein/Haggerty Art Museum,"Neal J Wucherer, Agt",3980011111.0,530,N,13TH,ST,4.0,3.0,BTAVN,Class B Tavern License,,,3980011111,"Milwaukee, WI",43.0356738,-87.9282446
18,2020-07-05,2019-06-20,EL ESCONDITE,EL ESCONDITE,"SONIA M FANTAUZZI, SP",3510517000.0,1832,S,13TH,ST,12.0,2.0,BTAVN,Class B Tavern License,80.0,,4610636100,"Milwaukee, WI",43.0106767186485,-87.9280466165261
19,2020-09-21,2019-09-10,"SHORTY'S CATERING, INC",SHORTY'S CATERING & RESTAURANT,"ELISA MALDONADO, Agt",,2075,S,13TH,ST,12.0,2.0,BTAVN,Class B Tavern License,156.0,"Restaurant = 49, Hall = 107",4600159000,"Milwaukee, WI",43.0069781663694,-87.9284171373562
20,2020-11-28,2019-11-15,GP Food Market LLC,Los Amigos,"KARAMVIR K DHALIWAL, Agt",4680201000.0,2100,S,13TH,ST,12.0,2.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4680201000,"Milwaukee, WI",43.006339,-87.928219
21,2019-11-28,2018-11-05,GP Food Market LLC,Los Amigos,"KARAMVIR K DHALIWAL, Agt",4680201000.0,2100,S,13TH,ST,12.0,2.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4680201000,"Milwaukee, WI",43.006339,-87.928219
